cement;blast_furnace_slag;fly_ash;water;superplasticizer;coarse_aggregate;fine_aggregate;age;concrete_compressive_trength
108.3;162.4;0.0;203.5;0.0;938.2;849.0;3;2.33 
122.6;183.9;0.0;203.5;0.0;958.2;800.1;3;3.32 
102.0;153.0;0.0;192.0;0.0;887.0;942.0;3;4.57 
153.0;102.0;0.0;192.0;0.0;888.0;943.1;3;4.78 
141.3;212.0;0.0;203.5;0.0;971.8;748.5;3;4.83 
183.9;122.6;0.0;203.5;0.0;959.2;800.0;3;4.90 
385.0;0.0;0.0;186.0;0.0;966.0;763.0;1;6.27 
116.0;173.0;0.0;192.0;0.0;909.8;891.9;3;6.28 
236.0;0.0;0.0;194.0;0.0;968.0;885.0;3;6.47 
212.0;141.3;0.0;203.5;0.0;973.4;750.0;3;6.81 
133.0;200.0;0.0;192.0;0.0;927.4;839.2;3;6.88 
166.8;250.2;0.0;203.5;0.0;975.6;692.6;3;6.90 
173.0;116.0;0.0;192.0;0.0;946.8;856.8;3;6.94 
182.0;45.2;122.0;170.2;8.2;1059.4;780.7;3;7.32 
168.9;42.2;124.3;158.3;10.8;1080.8;796.2;3;7.40 
135.7;203.5;0.0;185.7;0.0;1076.2;759.3;7;7.51 
102.0;153.0;0.0;192.0;0.0;887.0;942.0;7;7.68 
108.3;162.4;0.0;203.5;0.0;938.2;849.0;7;7.72 
168.0;42.1;163.8;121.8;5.7;1058.7;780.1;3;7.75 
200.0;0.0;0.0;180.0;0.0;1125.0;845.0;7;7.84 
186.2;124.1;0.0;185.7;0.0;1083.4;764.3;7;8.00 
139.6;209.4;0.0;192.0;0.0;1047.0;806.9;3;8.06 
255.0;0.0;0.0;192.0;0.0;889.8;945.0;3;8.20 
153.0;102.0;0.0;192.0;0.0;888.0;943.1;7;8.37 
250.0;0.0;95.7;191.8;5.3;948.9;857.2;3;8.49 
158.0;0.0;195.0;220.0;11.0;898.0;713.0;28;8.54 
158.4;0.0;194.9;219.7;11.0;897.7;712.9;28;8.54 
349.0;0.0;0.0;192.0;0.0;1056.0;809.0;7;9.01 
198.6;132.4;0.0;192.0;0.0;978.4;825.5;3;9.13 
254.0;0.0;0.0;198.0;0.0;968.0;863.0;3;9.31 
190.3;0.0;125.2;161.9;9.9;1088.1;802.6;3;9.45 
203.5;305.3;0.0;203.5;0.0;963.4;630.0;3;9.56 
158.8;238.2;0.0;185.7;0.0;1040.6;734.3;7;9.62 
157.0;236.0;0.0;192.0;0.0;935.4;781.2;3;9.69 
250.2;166.8;0.0;203.5;0.0;977.6;694.1;3;9.73 
155.0;0.0;143.0;193.0;9.0;877.0;868.0;28;9.74 
154.8;0.0;142.8;193.3;9.1;877.2;867.7;28;9.74 
202.0;11.0;141.0;206.0;1.7;942.0;801.0;3;9.85 
310.0;0.0;0.0;192.0;0.0;971.0;850.6;3;9.87 
236.0;0.0;0.0;193.0;0.0;968.0;885.0;7;9.99 
230.0;0.0;118.3;195.5;4.6;1029.4;758.6;3;10.03 
116.0;173.0;0.0;192.0;0.0;909.8;891.9;7;10.09 
255.0;0.0;0.0;192.0;0.0;889.8;945.0;7;10.22 
238.1;0.0;0.0;185.7;0.0;1118.8;789.3;7;10.34 
122.6;183.9;0.0;203.5;0.0;958.2;800.1;7;10.35 
233.8;0.0;94.6;197.9;4.6;947.0;852.2;3;10.38 
141.3;212.0;0.0;203.5;0.0;971.8;748.5;7;10.39 
145.0;0.0;179.0;202.0;8.0;824.0;869.0;28;10.54 
145.4;0.0;178.9;201.7;7.8;824.0;868.7;28;10.54 
170.3;155.5;0.0;185.7;0.0;1026.6;724.3;7;10.73 
166.1;0.0;163.3;176.5;4.5;1058.6;780.1;3;10.76 
183.9;122.6;0.0;203.5;0.0;959.2;800.0;7;10.79 
225.0;0.0;0.0;181.0;0.0;1113.0;833.0;7;11.17 
277.0;0.0;0.0;191.0;0.0;968.0;856.0;3;11.36 
